"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"5979",99.2,1921,2120,106.5,100,25.2,10.5,1027,101,121,86,86,19,28.2,"Low"
"5980",99.2,1809.5,2120,159,100,26.85,12.5,1239,426,449,86,86,24,28.1,"Low"
"5981",97.6,2146,2120,117,70,18.15,8.5,802,154,226,86,86,27,28.2,"Low"
"5982",99.2,1806,2120,159.5,100,27.8,10,989,0,2,86,86,27,28.2,"Low"
"5983",99.2,2159,2120,98,50,14.75,7.5,771,304,420,86,86,22,28.2,"Low"
"5984",99.2,1783,2120,143,100,27.3,7,672,0,0,86,86,19,28.2,"Low"
"5985",99.2,2099.5,2120,111,70,20.65,0,44,86,112,86,86,23,28.2,"Low"
"5986",99.2,1800.5,2120,156,100,26.95,3.5,392,0,0,86,86,23,28.2,"Low"
"5987",99.2,1878.5,2120,159,100,25.75,7,722,2,2,86,86,24,28.2,"Low"
"5988",99.2,2145.5,2120,157.5,100,21.15,8.5,945,0,0,86,86,27,28.2,"Low"
"5989",99.2,1829,2120,158.5,100,26.6,10,964,0,1,86,86,26,28.2,"Low"
"5990",99.2,1850,2120,158.5,100,26.25,11,1111,0,0,86,86,24,28.2,"Low"
"5991",99.2,1870.5,2120,158.5,100,25.9,12,1171,0,0,86,86,24,28.1,"Low"
"5992",99.2,1906.5,2120,157,100,25.3,12.5,1242,3,4,86,86,24,28.2,"Low"
"5993",99.2,1926.5,2120,159.5,100,25.05,13,1314,0,0,86,86,24,28.2,"Low"
"5994",99.2,1939,2120,159.5,100,24.95,13.5,1343,0,1,86,86,24,28.2,"Low"
"5995",99.2,1938,2120,162.5,100,24.95,13.5,1372,1,0,86,86,24,28.2,"Low"
"5996",99.2,2234,2120,142.5,100,4.65,14,1395,294,312,85,85,24,28.2,"Low"
